gkz,bezirkname,alle Krebsarten:diff_rate,alle Krebsarten:rate,alle Krebsarten:rate_at,Bauchspeicheldrüsenkrebs:diff_rate,Bauchspeicheldrüsenkrebs:rate,Bauchspeicheldrüsenkrebs:rate_at,Brustkrebs:diff_rate,Brustkrebs:rate,Brustkrebs:rate_at,Darmkrebs:diff_rate,Darmkrebs:rate,Darmkrebs:rate_at,Eierstockkrebs:diff_rate,Eierstockkrebs:rate,Eierstockkrebs:rate_at,Leukämie:diff_rate,Leukämie:rate,Leukämie:rate_at,Lungenkrebs:diff_rate,Lungenkrebs:rate,Lungenkrebs:rate_at,Magenkrebs:diff_rate,Magenkrebs:rate,Magenkrebs:rate_at,Prostatakrebs:diff_rate,Prostatakrebs:rate,Prostatakrebs:rate_at
311,Horn,16.600000000000023,217.05,200.45,-0.030000000000001137,16.73,16.76,4.729999999999997,37.79,33.06,6.030000000000001,26.71,20.68,-0.2699999999999996,10.32,10.59,-1.1600000000000001,6.07,7.23,-9.129999999999999,20.05,29.18,-0.3000000000000007,7.92,8.22,0,0,0
312,Korneuburg,15.670000000000016,216.12,200.45,-0.8800000000000008,15.88,16.76,3.1400000000000006,36.2,33.06,2.7300000000000004,23.41,20.68,1.25,11.84,10.59,0.5499999999999998,7.78,7.23,4.600000000000001,33.78,29.18,-1.8500000000000005,6.37,8.22,0,0,0
313,Krems (Land),-33.22,167.23,200.45,-2.450000000000001,14.31,16.76,-6.120000000000001,26.94,33.06,0.14999999999999858,20.83,20.68,-0.5399999999999991,10.05,10.59,0.5499999999999998,7.78,7.23,-16.09,13.09,29.18,-3.6800000000000006,4.54,8.22,0,0,0
314,Lilienfeld,-25.129999999999995,175.32,200.45,-0.14000000000000057,16.62,16.76,-2.8500000000000014,30.21,33.06,-8.09,12.59,20.68,2.2300000000000004,12.82,10.59,-1.6800000000000006,5.55,7.23,-10.05,19.13,29.18,1.1199999999999992,9.34,8.22,0,0,0
315,Melk,20.930000000000007,221.38,200.45,-4.650000000000002,12.11,16.76,9.049999999999997,42.11,33.06,2.4499999999999993,23.13,20.68,-0.2599999999999998,10.33,10.59,0.9900000000000002,8.22,7.23,-0.9400000000000013,28.24,29.18,-1.2100000000000009,7.01,8.22,0,0,0
316,Mistelbach,38.95000000000002,239.4,200.45,5.989999999999998,22.75,16.76,6.439999999999998,39.5,33.06,8.149999999999999,28.83,20.68,0.1999999999999993,10.79,10.59,1.5899999999999999,8.82,7.23,-5.27,23.91,29.18,2.3599999999999994,10.58,8.22,0,0,0
317,Mödling,-1.0300000000000011,199.42,200.45,1.6699999999999982,18.43,16.76,2.030000000000001,35.09,33.06,3.629999999999999,24.31,20.68,-1.2200000000000006,9.37,10.59,-1.6700000000000008,5.56,7.23,2.09,31.27,29.18,-1.9800000000000004,6.24,8.22,0,0,0
318,Neunkirchen,-1.2399999999999807,199.21,200.45,-0.16000000000000014,16.6,16.76,-1.610000000000003,31.45,33.06,4.16,24.84,20.68,-1.0500000000000007,9.54,10.59,-2.1500000000000004,5.08,7.23,1.2699999999999996,30.45,29.18,-2.1800000000000006,6.04,8.22,0,0,0
319,Sankt Pölten(Land),-4.549999999999983,195.9,200.45,1.879999999999999,18.64,16.76,-2.3800000000000026,30.68,33.06,1.6000000000000014,22.28,20.68,-1.4800000000000004,9.11,10.59,0.2599999999999998,7.49,7.23,-3.509999999999998,25.67,29.18,-0.040000000000000924,8.18,8.22,0,0,0
320,Scheibbs,-15.689999999999998,184.76,200.45,-1.3400000000000016,15.42,16.76,-5.0000000000000036,28.06,33.06,1.0700000000000003,21.75,20.68,1.75,12.34,10.59,1.3499999999999996,8.58,7.23,-15.17,14.01,29.18,-1.080000000000001,7.14,8.22,0,0,0
321,Tulln,24.610000000000014,225.06,200.45,0.5899999999999999,17.35,16.76,5.710000000000001,38.77,33.06,4.5,25.18,20.68,1.67,12.26,10.59,-1.0200000000000005,6.21,7.23,2.969999999999999,32.15,29.18,2.8999999999999986,11.12,8.22,0,0,0
322,Waidhofen an der Thaya,-6.069999999999993,194.38,200.45,-1.7500000000000018,15.01,16.76,5.140000000000001,38.2,33.06,2.0500000000000007,22.73,20.68,-1.9399999999999995,8.65,10.59,-1.2800000000000002,5.95,7.23,-5.370000000000001,23.81,29.18,-4.610000000000001,3.61,8.22,0,0,0
323,Wiener Neustadt(Land),-2.8100000000000023,197.64,200.45,-0.5300000000000011,16.23,16.76,0.46000000000000085,33.52,33.06,1.4299999999999997,22.11,20.68,-1.5600000000000005,9.03,10.59,-0.2600000000000007,6.97,7.23,-4.059999999999999,25.12,29.18,-2.870000000000001,5.35,8.22,0,0,0
324,Wien-Umgebung,17.04000000000002,217.49,200.45,1.4399999999999977,18.2,16.76,5.43,38.49,33.06,4.030000000000001,24.71,20.68,0.620000000000001,11.21,10.59,1.2699999999999996,8.5,7.23,6.200000000000003,35.38,29.18,-0.660000000000001,7.56,8.22,0,0,0
325,Zwettl,-18.919999999999987,181.53,200.45,0.9699999999999989,17.73,16.76,-2.870000000000001,30.19,33.06,-6.16,14.52,20.68,-3.25,7.34,10.59,-1.12,6.11,7.23,-11.690000000000001,17.49,29.18,5.49,13.71,8.22,0,0,0
401,Linz(Stadt),6.8300000000000125,207.28,200.45,-1.0000000000000018,15.76,16.76,1.0599999999999952,34.12,33.06,0.39000000000000057,21.07,20.68,1.6400000000000006,12.23,10.59,0.8099999999999987,8.04,7.23,4.030000000000001,33.21,29.18,-0.8600000000000003,7.36,8.22,0,0,0
402,Steyr(Stadt),20.25,220.7,200.45,-2.660000000000002,14.1,16.76,9.11,42.17,33.06,10,30.68,20.68,-0.35999999999999943,10.23,10.59,-1.04,6.19,7.23,3.740000000000002,32.92,29.18,-3.4000000000000004,4.82,8.22,0,0,0
403,Wels(Stadt),-5.429999999999978,195.02,200.45,-0.3100000000000023,16.45,16.76,4.109999999999999,37.17,33.06,2.9499999999999993,23.63,20.68,-1.5099999999999998,9.08,10.59,-0.9100000000000001,6.32,7.23,2.330000000000002,31.51,29.18,0.019999999999999574,8.24,8.22,0,0,0
404,Braunau am Inn,-16.549999999999983,183.9,200.45,-1.1100000000000012,15.65,16.76,-1.7900000000000027,31.27,33.06,0.120000000000001,20.8,20.68,-0.8499999999999996,9.74,10.59,0.8699999999999992,8.1,7.23,-10.690000000000001,18.49,29.18,3.84,12.06,8.22,0,0,0
405,Eferding,-28.129999999999995,172.32,200.45,-2.8000000000000007,13.96,16.76,-1.6900000000000013,31.37,33.06,-6.959999999999999,13.72,20.68,-2.9299999999999997,7.66,10.59,1.5599999999999987,8.79,7.23,-8.469999999999999,20.71,29.18,-3.8000000000000007,4.42,8.22,0,0,0
406,Freistadt,-21.75999999999999,178.69,200.45,-1.6700000000000017,15.09,16.76,-5.110000000000003,27.95,33.06,-0.6099999999999994,20.07,20.68,1.08,11.67,10.59,0.16999999999999993,7.4,7.23,-9.419999999999998,19.76,29.18,1.58,9.8,8.22,0,0,0
407,Gmunden,-5.7099999999999795,194.74,200.45,-1.5300000000000011,15.23,16.76,1.3399999999999963,34.4,33.06,-0.46000000000000085,20.22,20.68,-1.879999999999999,8.71,10.59,1.9399999999999995,9.17,7.23,-3.6900000000000013,25.49,29.18,-0.4200000000000008,7.8,8.22,0,0,0
408,Grieskirchen,-36.609999999999985,163.84,200.45,-4.480000000000002,12.28,16.76,-6.760000000000002,26.3,33.06,-8.219999999999999,12.46,20.68,4.5,15.09,10.59,-2.7300000000000004,4.5,7.23,-14.15,15.03,29.18,0.2599999999999998,8.48,8.22,0,0,0
409,Kirchdorf an der Krems,-16.919999999999987,183.53,200.45,-0.8200000000000021,15.94,16.76,1.0799999999999983,34.14,33.06,-2.9400000000000013,17.74,20.68,2.3200000000000003,12.91,10.59,1.1799999999999997,8.41,7.23,-10.39,18.79,29.18,-0.6300000000000008,7.59,8.22,0,0,0
410,Linz-Land,-13.819999999999993,186.63,200.45,-4.840000000000002,11.92,16.76,0.8099999999999952,33.87,33.06,-2.3999999999999986,18.28,20.68,-1.0500000000000007,9.54,10.59,0.5099999999999998,7.74,7.23,-3.7399999999999984,25.44,29.18,-1.830000000000001,6.39,8.22,0,0,0
411,Perg,-8.299999999999983,192.15,200.45,-5.710000000000001,11.05,16.76,2.6999999999999957,35.76,33.06,3.4800000000000004,24.16,20.68,2.8100000000000005,13.4,10.59,1.7400000000000002,8.97,7.23,-9.45,19.73,29.18,0.5399999999999991,8.76,8.22,0,0,0
412,Ried im Innkreis,-28.349999999999994,172.1,200.45,1.1199999999999974,17.88,16.76,-4.510000000000002,28.55,33.06,-2.289999999999999,18.39,20.68,3.0199999999999996,13.61,10.59,-2.8600000000000003,4.37,7.23,-12.940000000000001,16.24,29.18,3.469999999999999,11.69,8.22,0,0,0
413,Rohrbach,-47.869999999999976,152.58,200.45,-3.410000000000002,13.35,16.76,-11.490000000000002,21.57,33.06,-2.3000000000000007,18.38,20.68,2.290000000000001,12.88,10.59,1.2899999999999991,8.52,7.23,-14.61,14.57,29.18,0.97999999999999865,9.2,8.22,0,0,0
414,Schärding,-18.419999999999987,182.03,200.45,0.5399999999999991,17.3,16.76,-5.740000000000002,27.32,33.06,-2.219999999999999,18.46,20.68,1.3900000000000006,11.98,10.59,-2.08,5.15,7.23,-10.91,18.27,29.18,2.2799999999999994,10.5,8.22,0,0,0
415,Steyr-Land,-19.599999999999994,180.85,200.45,-2.4700000000000024,14.29,16.76,-5.210000000000001,27.85,33.06,-0.10999999999999943,20.57,20.68,0.17999999999999972,10.77,10.59,-1.5900000000000007,5.64,7.23,-7.850000000000001,21.33,29.18,1.4699999999999989,9.69,8.22,0,0,0
416,Urfahr-Umgebung,-29.47,170.98,200.45,-1.450000000000001,15.31,16.76,-5.040000000000003,28.02,33.06,-3.3900000000000006,17.29,20.68,-1.92,8.67,10.59,-1.1800000000000006,6.05,7.23,-10.469999999999999,18.71,29.18,0.8199999999999985,9.04,8.22,0,0,0
417,Vöcklabruck,4.410000000000025,204.86,200.45,-1.9600000000000009,14.8,16.76,6.049999999999997,39.11,33.06,0.6000000000000014,21.28,20.68,-0.9299999999999997,9.66,10.59,-1.8900000000000006,5.34,7.23,-3.710000000000001,25.47,29.18,0.72999999999999865,8.95,8.22,0,0,0
